wormbase_gene,Uniq_reads_num.5784560.,Uniq_reads_num.5230459.
WBGene00007071,212,453
WBGene00007081,7,130
WBGene00014999,48,31
WBGene00007089,445,270
WBGene00007090,754,492
WBGene00007093,782,490
WBGene00007094,924,470
WBGene00007096,1,1
WBGene00007097,29,79
WBGene00015001,360,205
WBGene00194700,1,96
WBGene00015002,4,5
WBGene00007112,47,150
WBGene00007113,410,225
WBGene00007106,578,409
WBGene00015006,1,4
WBGene00206362,13,10
WBGene00015009,771,537
WBGene00015011,653,409
WBGene00015024,18,391
WBGene00044413,25,39
WBGene00044644,241,112
WBGene00015021,506,353
WBGene00015022,165,130
WBGene00015027,1,11
WBGene00015032,6,48
WBGene00015056,714,1133
WBGene00015064,383,618
WBGene00015075,1145,672
WBGene00015076,1,10
WBGene00015073,1245,726
WBGene00015084,4,28
WBGene00007122,670,841
WBGene00015087,2,8
WBGene00044615,2,1
WBGene00015096,79,36
WBGene00007129,386,371
WBGene00007130,17,26
WBGene00015097,8,70
WBGene00044674,66,289
WBGene00015103,1,1
WBGene00015104,863,495
WBGene00015110,31,22
WBGene00015111,3,6
WBGene00007136,129,106
WBGene00015115,14,39
WBGene00015132,24,26
WBGene00015125,1203,1064
WBGene00015134,476,240
WBGene00015136,88,71
WBGene00007149,1,1
WBGene00007144,641,380
WBGene00007145,809,514
WBGene00015150,277,176
WBGene00015160,534,312
WBGene00015163,33,79
WBGene00007156,8,96
WBGene00007159,18,226
WBGene00007165,11,8
WBGene00007168,2396,1168
WBGene00007172,1,5
WBGene00043982,19,34
WBGene00015172,3,4
WBGene00015178,1,1
WBGene00015191,150,96
WBGene00015189,174,73
WBGene00015190,31,21
WBGene00007186,2318,1409
WBGene00007189,587,372
WBGene00007192,1491,1405
WBGene00007194,249,133
WBGene00015204,506,321
WBGene00015206,1516,1116
WBGene00015208,383,268
WBGene00015219,75,96
WBGene00015238,341,221
WBGene00015232,1761,1105
WBGene00015233,630,356
WBGene00015244,2,29
WBGene00007202,108,70
WBGene00007207,818,441
WBGene00007216,796,953
WBGene00044294,46,142
WBGene00015278,291,588
WBGene00015282,1406,813
WBGene00015283,664,457
WBGene00015291,285,151
WBGene00015301,851,550
WBGene00007222,19,140
WBGene00007223,849,700
WBGene00007237,225,235
WBGene00007239,4,71
WBGene00007234,488,325
WBGene00007244,8,54
WBGene00007249,4,20
WBGene00015307,229,112
WBGene00007225,1151,614
WBGene00007226,254,245
WBGene00007227,3427,2536
WBGene00007253,1,5
WBGene00007254,1,6
WBGene00015328,30,58
WBGene00015329,1062,634
WBGene00015322,5,24
WBGene00043097,137,146
WBGene00015339,2,3
WBGene00015355,33,24
WBGene00007264,8,2
WBGene00015351,13,20
WBGene00015352,117,102
WBGene00015353,245,142
WBGene00044445,15,38
WBGene00015346,646,433
WBGene00015348,4,43
WBGene00007267,277,248
WBGene00015381,23,69
WBGene00015382,14,13
WBGene00015386,5,39
WBGene00007274,2,43
WBGene00015390,14,38
WBGene00015402,2,7
WBGene00015393,24,37
WBGene00015405,791,431
WBGene00015409,1,1
WBGene00007285,2,4
WBGene00015433,28,64
WBGene00015427,9,7
WBGene00015423,18,47
WBGene00045270,1,6
WBGene00015442,2,2
WBGene00007301,121,988
WBGene00015450,446,260
WBGene00007308,73,580
WBGene00015453,2,1
WBGene00015454,357,213
WBGene00007312,70,50
WBGene00007324,53,93
WBGene00007330,1911,1502
WBGene00007334,208,134
WBGene00007337,2,44
WBGene00015462,521,335
WBGene00015464,147,191
WBGene00015481,1828,1275
WBGene00015483,9,24
WBGene00015486,815,483
WBGene00007341,6,6
WBGene00044029,3,1
WBGene00015469,227,399
WBGene00015474,33,11
WBGene00015494,21,23
WBGene00007349,44,74
WBGene00007354,14,82
WBGene00044414,27,23
WBGene00015516,6,100
WBGene00007365,293,141
WBGene00007377,4,3
WBGene00007382,3,7
WBGene00015518,44,22
WBGene00015524,827,447
WBGene00015529,49,27
WBGene00015537,2,13
WBGene00015539,20,53
WBGene00015541,45,45
WBGene00015546,4,19
WBGene00015549,6,6
WBGene00015552,155,124
WBGene00015554,172,106
WBGene00015558,3,14
WBGene00007391,276,164
WBGene00007394,73,128
WBGene00007398,1,2
WBGene00015566,5,12
WBGene00015569,50,55
WBGene00015565,1370,1084
WBGene00007420,5,2
WBGene00007414,13,49
WBGene00007419,48,55
WBGene00007421,6,17
WBGene00015579,257,162
WBGene00015582,1,5
WBGene00044773,81,167
WBGene00007436,176,99
WBGene00007430,19,49
WBGene00007424,3,30
WBGene00007429,207,128
WBGene00077692,17,25
WBGene00007440,17,58
WBGene00007459,1,1
WBGene00007460,155,41
WBGene00007445,882,470
WBGene00007449,18,28
WBGene00015619,28,35
WBGene00007474,2,9
WBGene00015621,49,81
WBGene00015629,6,124
WBGene00015633,138,294
WBGene00015634,12,119
WBGene00206357,1,7
WBGene00007476,77,48
WBGene00007478,2,21
WBGene00007486,53,112
WBGene00007487,6,2
WBGene00044001,185,86
WBGene00007492,950,841
WBGene00007503,13,38
WBGene00015665,10,14
WBGene00015668,1,4
WBGene00015671,23,61
WBGene00007507,24,11
WBGene00007511,2,5
WBGene00007512,3,47
WBGene00015673,10,16
WBGene00015690,1,13
WBGene00015702,433,227
WBGene00015703,231,176
WBGene00007522,1,2
WBGene00007525,28,58
WBGene00007528,21,20
WBGene00015708,1,1
WBGene00015728,9,8
WBGene00015729,1,6
WBGene00015744,146,88
WBGene00015745,822,403
WBGene00015746,529,439
WBGene00007553,212,277
WBGene00015747,623,359
WBGene00050944,105,81
WBGene00007557,4,10
WBGene00007559,3,22
WBGene00050956,2,52
WBGene00184990,168,94
WBGene00007573,727,388
WBGene00007574,181,246
WBGene00007580,2143,1100
WBGene00015755,199,256
WBGene00015752,416,476
WBGene00015753,3,7
WBGene00015765,5,47
WBGene00015768,4,2
WBGene00015769,104,64
WBGene00015756,36,114
WBGene00015759,88,38
WBGene00015781,3,16
WBGene00007597,6,93
WBGene00007598,2,10
WBGene00007600,4,3
WBGene00007603,223,123
WBGene00015791,69,153
WBGene00015792,1,2
WBGene00015793,26,24
WBGene00007606,733,449
WBGene00007609,58,54
WBGene00015795,7,18
WBGene00007610,6,115
WBGene00015805,2,31
WBGene00015803,264,646
WBGene00185089,106,83
WBGene00015816,145,114
WBGene00015820,11,57
WBGene00015807,105,68
WBGene00015809,1524,828
WBGene00015810,744,707
WBGene00015811,1057,802
WBGene00015823,295,370
WBGene00007622,322,182
WBGene00007632,17,37
WBGene00007623,509,332
WBGene00007625,726,413
WBGene00007628,270,167
WBGene00007621,938,657
WBGene00015849,54,47
WBGene00015850,110,47
WBGene00015852,120,81
WBGene00015853,400,230
WBGene00015842,311,232
WBGene00015857,1,2
WBGene00015896,48,74
WBGene00015890,1,5
WBGene00007639,1,11
WBGene00044236,107,67
WBGene00007644,123,98
WBGene00007645,849,441
WBGene00015905,63,40
WBGene00015899,538,257
WBGene00044374,1,2
WBGene00015913,2344,3044
WBGene00007649,267,358
WBGene00007652,21,45
WBGene00015915,892,415
WBGene00015919,7,9
WBGene00015929,10,163
WBGene00015933,516,1
WBGene00015947,10,8
WBGene00015949,75,92
WBGene00015946,2,3
WBGene00015941,908,587
WBGene00015944,5,65
WBGene00007666,262,292
WBGene00015954,102,241
WBGene00015955,547,633
WBGene00007679,51,67
WBGene00007681,624,347
WBGene00007682,69,48
WBGene00044232,2,2
WBGene00007684,479,436
WBGene00007685,103,171
WBGene00007689,231,330
WBGene00015994,8,98
WBGene00016004,46,62
WBGene00016009,32,30
WBGene00016017,7,2
WBGene00016021,416,231
WBGene00044132,3,1
WBGene00016040,8,63
WBGene00016046,5,7
WBGene00016054,10,131
WBGene00016056,54,15
WBGene00016057,557,307
WBGene00007697,125,90
WBGene00016067,10,3
WBGene00077526,975,787
WBGene00016087,228,123
WBGene00007720,482,346
WBGene00050940,6,27
WBGene00007717,1,2
WBGene00016099,26,50
WBGene00016097,22,87
WBGene00045411,7,2
WBGene00045461,8,7
WBGene00007730,202,167
WBGene00016109,1,2
WBGene00016111,2,3
WBGene00016123,118,92
WBGene00044392,1,8
WBGene00194642,30,28
WBGene00016112,131,75
WBGene00016116,327,260
WBGene00016129,326,282
WBGene00016133,6,6
WBGene00016134,256,388
WBGene00007743,40,52
WBGene00016145,445,239
WBGene00016148,449,283
WBGene00016154,1427,763
WBGene00044386,1,5
WBGene00007757,482,321
WBGene00007765,25,6
WBGene00007766,878,659
WBGene00007777,20,115
WBGene00007780,447,254
WBGene00016171,692,305
WBGene00016166,515,264
WBGene00043156,440,222
WBGene00007787,865,506
WBGene00016177,14,73
WBGene00016182,762,423
WBGene00016180,19,93
WBGene00007792,6,80
WBGene00007794,13,128
WBGene00016191,24,33
WBGene00016193,6,16
WBGene00016194,6160,3638
WBGene00016209,413,291
WBGene00045246,23,7
WBGene00016210,209,334
WBGene00007811,296,447
WBGene00007812,132,191
WBGene00016217,1,11
WBGene00016234,20,104
WBGene00016235,2076,1839
WBGene00016237,6,12
WBGene00016247,8,8
WBGene00016261,425,245
WBGene00016263,760,433
WBGene00016274,51,331
WBGene00044177,19,203
WBGene00044178,24,53
WBGene00007825,153,133
WBGene00007826,266,153
WBGene00007836,170,159
WBGene00007841,8,39
WBGene00007847,87,66
WBGene00007850,35,15
WBGene00016291,1500,797
WBGene00007855,24,36
WBGene00016310,27,37
WBGene00016317,756,393
WBGene00016319,11,9
WBGene00016314,32,24
WBGene00016322,6,38
WBGene00016323,797,393
WBGene00016325,116,152
WBGene00016332,234,396
WBGene00007867,14,1
WBGene00007880,530,479
WBGene00007890,12,10
WBGene00007882,488,278
WBGene00007883,19,18
WBGene00007892,29,32
WBGene00016342,59,54
WBGene00016336,1,7
WBGene00007900,58,45
WBGene00016345,1,4
WBGene00016351,15,139
WBGene00016358,11,116
WBGene00050941,209,149
WBGene00016353,225,97
WBGene00016356,10,116
WBGene00007906,119,153
WBGene00016362,21,45
WBGene00016379,16,41
WBGene00016396,6,12
WBGene00016388,3,65
WBGene00016389,1,3
WBGene00016393,860,856
WBGene00007911,19,19
WBGene00007923,137,191
WBGene00007926,7,5
WBGene00007927,552,385
WBGene00206355,4,2
WBGene00007917,563,482
WBGene00016406,93,103
WBGene00016399,17,143
WBGene00016411,387,295
WBGene00007937,4,7
WBGene00007934,17,45
WBGene00016413,1,19
WBGene00016414,11,80
WBGene00016417,21,31
WBGene00007938,30,68
WBGene00007945,7,12
WBGene00016420,8,98
WBGene00016425,86,64
WBGene00016429,4,23
WBGene00016431,4,4
WBGene00007947,42,67
WBGene00016434,547,766
WBGene00016435,143,152
WBGene00007958,4,9
WBGene00016439,298,221
WBGene00016446,591,320
WBGene00016452,89,92
WBGene00016442,333,180
WBGene00016443,573,425
WBGene00016445,53,79
WBGene00016463,2,4
WBGene00016461,69,335
WBGene00007965,2117,1104
WBGene00007978,1525,767
WBGene00044614,69,44
WBGene00016469,732,793
WBGene00016490,41,32
WBGene00007980,1715,1078
WBGene00007983,12,24
WBGene00016493,2953,2335
WBGene00007991,129,105
WBGene00016504,3,15
WBGene00016501,946,486
WBGene00045390,10,17
WBGene00008005,1343,674
WBGene00008007,18,36
WBGene00008008,72,64
WBGene00008019,75,99
WBGene00016520,28,18
WBGene00016524,278,165
WBGene00008034,923,531
WBGene00016540,50,57
WBGene00016541,18,251
WBGene00016542,64,91
WBGene00016545,1,1
WBGene00008043,9,19
WBGene00016567,162,87
WBGene00008063,22,420
WBGene00016590,99,60
WBGene00016594,862,1335
WBGene00016596,44,29
WBGene00016599,26,32
WBGene00016607,184,154
WBGene00016612,5,48
WBGene00016616,19,16
WBGene00016634,5,23
WBGene00016635,3,4
WBGene00016627,1058,1912
WBGene00008080,496,269
WBGene00016641,6,5
WBGene00016657,11,22
WBGene00016654,826,454
WBGene00045379,2,6
WBGene00185117,1,4
WBGene00016658,61,144
WBGene00016661,167,142
WBGene00016664,1,5
WBGene00016667,4,12
WBGene00001590,200,109
WBGene00016674,544,228
WBGene00016676,840,515
WBGene00016706,8,24
WBGene00008110,234,154
WBGene00045078,49,34
WBGene00016712,3,2
WBGene00008121,13,11
WBGene00016721,142,224
WBGene00016722,889,1635
WBGene00044502,8,5
WBGene00016728,16,17
WBGene00008124,5,48
WBGene00008134,107,92
WBGene00008136,2755,1519
WBGene00008138,1,1
WBGene00008139,53,112
WBGene00008147,542,336
WBGene00008148,588,494
WBGene00008142,20,24
WBGene00008157,28,34
WBGene00008164,234,122
WBGene00008173,441,287
WBGene00008174,677,404
WBGene00008169,207,146
WBGene00008172,453,322
WBGene00016746,118,102
WBGene00016740,126,68
WBGene00016741,698,485
WBGene00016745,78,47
WBGene00016749,58,86
WBGene00008191,35,99
WBGene00016764,183,118
WBGene00016757,18,26
WBGene00016758,32,36
WBGene00016759,45,119
WBGene00016760,339,581
WBGene00008201,7,3
WBGene00008204,15,27
WBGene00008196,301,173
WBGene00008197,565,391
WBGene00016769,77,77
WBGene00008211,26,44
WBGene00008215,2,6
WBGene00016788,152,34
WBGene00077593,3,4
WBGene00016781,187,586
WBGene00045474,3,1
WBGene00016790,763,485
WBGene00016791,171,110
WBGene00016794,655,474
WBGene00016797,8,17
WBGene00008219,1231,643
WBGene00008227,3,3
WBGene00008228,30,62
WBGene00016799,668,341
WBGene00016805,3,1
WBGene00044420,20,9
WBGene00016808,309,189
WBGene00016809,2,3
WBGene00016810,495,399
WBGene00016811,504,324
WBGene00016825,11,131
WBGene00016822,84,33
WBGene00016824,233,92
WBGene00016816,901,484
WBGene00016817,4,17
WBGene00016840,6,18
WBGene00008235,9,63
WBGene00008238,792,455
WBGene00008232,82,52
WBGene00001910,194,343
WBGene00008233,3,11
WBGene00008234,1,4
WBGene00016846,57,46
WBGene00008246,31,34
WBGene00008254,85,195
WBGene00016862,181,255
WBGene00016874,46,48
WBGene00016888,1937,1074
WBGene00008259,8,85
WBGene00008260,15,29
WBGene00194706,156,102
WBGene00194707,265,152
WBGene00008273,10,24
WBGene00016893,173,293
WBGene00016900,1,5
WBGene00008281,425,238
WBGene00044746,26,36
WBGene00008288,158,97
WBGene00044166,7,5
WBGene00016914,7,8
WBGene00008304,4,10
WBGene00008298,249,1031
WBGene00008299,2,50
WBGene00016929,3,1
WBGene00016923,3,3
WBGene00008313,9,85
WBGene00008315,1,1
WBGene00008317,850,783
WBGene00008318,307,177
WBGene00008330,419,237
WBGene00008340,1,14
WBGene00008335,12,38
WBGene00008336,10,26
WBGene00016946,3,22
WBGene00016947,507,367
WBGene00016942,45,205
WBGene00016953,41,136
WBGene00008344,712,451
WBGene00016965,286,169
WBGene00016970,103,135
WBGene00016979,4,1
WBGene00016982,10,12
WBGene00008348,93,117
WBGene00016996,11,17
WBGene00044421,4,3
WBGene00017002,128,70
WBGene00017005,229,161
WBGene00017017,243,134
WBGene00017022,5,6
WBGene00017023,107,170
WBGene00008353,38,46
WBGene00017025,1037,602
WBGene00008370,90,71
WBGene00008377,3029,5027
WBGene00008371,611,378
WBGene00008375,40,45
WBGene00008383,7,98
WBGene00008388,23,65
WBGene00045355,14,147
WBGene00045405,6,11
WBGene00008390,84,176
WBGene00008392,15,25
WBGene00008393,625,1168
WBGene00008398,434,340
WBGene00008404,441,391
WBGene00008408,205,122
WBGene00008410,854,514
WBGene00008420,51,36
WBGene00008421,8,12
WBGene00008413,624,340
WBGene00008414,329,350
WBGene00008417,1088,559
WBGene00008418,666,333
WBGene00008425,13,20
WBGene00008426,26,22
WBGene00017055,1,14
WBGene00017060,5,27
WBGene00008432,3,5
WBGene00008434,83,54
WBGene00017065,222,523
WBGene00017077,4,1
WBGene00044953,13,22
WBGene00017082,21,12
WBGene00008440,507,218
WBGene00017087,93,54
WBGene00008450,6,7
WBGene00008453,8,14
WBGene00008455,409,267
WBGene00008457,189,100
WBGene00008458,147,77
WBGene00077757,18,19
WBGene00017102,1,2
WBGene00017105,30,11
WBGene00017106,4,4
WBGene00017112,49,567
WBGene00008484,1,12
WBGene00017131,21,18
WBGene00017126,61,140
WBGene00017127,79,141
WBGene00017128,172,434
WBGene00017140,10,4
WBGene00017141,35,8
WBGene00017142,316,154
WBGene00017143,47,22
WBGene00194696,5,3
WBGene00017133,7,12
WBGene00017134,1189,494
WBGene00017135,3,2
WBGene00017147,77,42
WBGene00017151,2,1
WBGene00008492,2,2
WBGene00008495,4,3
WBGene00008498,12,75
WBGene00017165,1001,558
WBGene00017169,153,122
WBGene00017159,298,200
WBGene00017160,49,48
WBGene00008516,1,2
WBGene00008521,24,54
WBGene00008528,314,205
WBGene00008531,565,309
WBGene00008541,31,428
WBGene00017193,2,4
WBGene00008554,15,31
WBGene00017210,534,383
WBGene00017219,32,30
WBGene00017220,592,430
WBGene00045271,57,139
WBGene00008561,387,253
WBGene00017235,11,5
WBGene00017238,236,143
WBGene00017246,10,28
WBGene00017250,36,69
WBGene00017262,59,178
WBGene00017263,512,357
WBGene00017269,572,351
WBGene00017272,114,113
WBGene00008585,100,88
WBGene00008576,96,125
WBGene00008578,52,56
WBGene00008590,9,165
WBGene00008603,93,241
WBGene00008604,6,13
WBGene00017279,4,124
WBGene00008621,93,196
WBGene00008622,172,178
WBGene00017294,41,95
WBGene00017296,1,5
WBGene00017289,332,200
WBGene00017290,2,6
WBGene00017291,9,25
WBGene00017292,9,7
WBGene00017283,373,242
WBGene00017285,638,405
WBGene00017286,294,174
WBGene00017306,1,7
WBGene00017307,2,1
WBGene00017311,1675,1348
WBGene00044444,1,2
WBGene00045507,69,48
WBGene00008634,34,69
WBGene00008639,883,462
WBGene00008645,2121,1105
WBGene00008648,1086,535
WBGene00017335,5,7
WBGene00017339,79,58
WBGene00017340,8,6
WBGene00017347,825,505
WBGene00017348,265,161
WBGene00017350,3,8
WBGene00017361,36,74
WBGene00017355,861,587
WBGene00017356,498,300
WBGene00017357,440,244
WBGene00017358,520,282
WBGene00017363,2,1
WBGene00008686,1318,766
WBGene00008680,1,2
WBGene00045511,13,3
WBGene00008690,22,16
WBGene00017376,3,14
WBGene00023501,3,8
WBGene00008707,1881,4411
WBGene00017384,12,71
WBGene00017385,1100,1347
WBGene00017390,17,16
WBGene00017397,595,308
WBGene00077704,3,1
WBGene00017402,84,76
WBGene00044811,24,29
WBGene00008720,2378,1411
WBGene00008722,514,295
WBGene00017413,39,27
WBGene00008724,5,105
WBGene00008726,9,6
WBGene00045357,423,269
WBGene00008729,2388,1549
WBGene00017423,66,64
WBGene00017426,24,52
WBGene00017428,31,38
WBGene00017429,28,78
WBGene00008744,3,13
WBGene00008739,17,51
WBGene00008741,1404,3446
WBGene00008745,176,210
WBGene00008750,712,443
WBGene00008754,4,59
WBGene00008768,101,44
WBGene00008770,24,35
WBGene00008777,64,137
WBGene00017431,270,477
WBGene00017443,7,18
WBGene00017444,2,15
WBGene00017436,53,83
WBGene00017438,3,6
WBGene00017442,19,30
WBGene00008779,32,27
WBGene00008784,6,4
WBGene00017448,46,66
WBGene00017459,36,22
WBGene00017462,126,81
WBGene00023427,58,38
WBGene00017456,199,110
WBGene00045331,1,3
WBGene00008789,766,427
WBGene00195147,2,26
WBGene00017468,20,38
WBGene00044536,1,1
WBGene00017471,14,45
WBGene00017473,7,5
WBGene00017474,8,9
WBGene00008831,3,3
WBGene00008822,259,134
WBGene00008823,344,157
WBGene00008825,1277,826
WBGene00008844,19,18
WBGene00008838,16,5
WBGene00008840,6,18
WBGene00008841,103,306
WBGene00017481,6,3
WBGene00045418,691,624
WBGene00008856,475,334
WBGene00008859,140,86
WBGene00008862,23,110
WBGene00008863,2,7
WBGene00017484,7,5
WBGene00017485,55,85
WBGene00008868,9,27
WBGene00008880,161,139
WBGene00017506,4,14
WBGene00008886,7,3
WBGene00017530,11,10
WBGene00008900,10,6
WBGene00017534,1227,775
WBGene00017536,131,211
WBGene00045458,2,3
WBGene00023503,1,2
WBGene00008914,3,13
WBGene00008915,49,107
WBGene00008917,17,41
WBGene00185014,10,28
WBGene00017541,388,301
WBGene00008925,390,658
WBGene00017548,3245,1663
WBGene00008930,43,43
WBGene00008934,313,236
WBGene00008935,1,8
WBGene00017563,922,1546
WBGene00017560,19,31
WBGene00045276,14,6
WBGene00017569,23,34
WBGene00017570,1,1
WBGene00017574,27,37
WBGene00017582,82,160
WBGene00008939,21,31
WBGene00008940,276,424
WBGene00017583,63,48
WBGene00017584,78,41
WBGene00008944,5492,10153
WBGene00017591,498,1002
WBGene00017592,23,97
WBGene00017593,9,12
WBGene00017608,638,358
WBGene00195186,6,6
WBGene00008963,60,131
WBGene00017613,63,172
WBGene00017621,44,102
WBGene00017632,1,2
WBGene00008971,50,60
WBGene00008973,90,66
WBGene00008975,1446,1323
WBGene00017642,1740,1090
WBGene00017636,7,61
WBGene00017637,5,12
WBGene00008986,86,96
WBGene00017646,459,275
WBGene00017647,14,119
WBGene00008993,1,7
WBGene00017659,808,1834
WBGene00017658,24,24
WBGene00017663,10,15
WBGene00009006,1982,858
WBGene00009008,45,51
WBGene00009009,71,55
WBGene00009010,378,182
WBGene00009011,716,407
WBGene00009012,1754,1128
WBGene00017675,1499,1524
WBGene00017676,89,76
WBGene00009023,24,36
WBGene00044287,1,3
WBGene00009031,25,353
WBGene00009045,596,476
WBGene00009042,2,9
WBGene00009043,22,97
WBGene00009044,11,25
WBGene00017698,70,82
WBGene00009049,54,104
WBGene00009056,7,17
WBGene00009050,1741,1617
WBGene00043279,28,13
WBGene00009054,200,167
WBGene00017711,9,17
WBGene00017708,104,60
WBGene00017715,1,2
WBGene00017717,52,91
WBGene00009064,606,369
WBGene00017727,214,312
WBGene00009067,4,2
WBGene00009084,2415,1307
WBGene00017741,1,1
WBGene00017732,3,1
WBGene00017734,950,1105
WBGene00017737,51,119
WBGene00194674,93,257
WBGene00009091,19,60
WBGene00017750,108,71
WBGene00017743,1,4
WBGene00017745,25,35
WBGene00017746,515,326
WBGene00017756,15,33
WBGene00017751,6,5
